股票代码,交易日期,开盘价,最高价,最低价,收盘价,前收盘价,涨跌额,涨跌幅(%),成交量(手),成交额(千元),RSI_14,DIF,DEA,MACD,BOLL_MID,BOLL_STD,BOLL_UPPER,BOLL_LOWER,K,D,J
300750.SZ,2025-07-04,265.01,269.98,260.98,265.8,262.59,3.21,1.2224,272060.13,7214227.943,,0.0,0.0,0.0,,,,,50.0,50.0,0.0
300750.SZ,2025-07-07,265.8,268.88,258.88,260.89,265.8,-4.91,-1.8473,174664.98,4568972.965,,-0.3916809116809077,-0.07833618233618155,-0.6266894586894523,,,,,49.99999999999999,49.99999999999999,49.999999999999986
300750.SZ,2025-07-08,260.7,265.9,259.82,263.31,260.89,2.42,0.9276,155922.92,4104293.094,,-0.5010413876510711,-0.16287722339915947,-0.6763283285038233,,,,,49.99999999999999,49.99999999999999,49.999999999999986
300750.SZ,2025-07-09,262.2,274.46,262.1,270.8,263.31,7.49,2.8446,293883.71,7948423.739,,0.016480078613369642,-0.12700576299665364,0.28697168322004657,,,,,49.99999999999999,49.99999999999999,49.999999999999986
300750.SZ,2025-07-10,274.99,274.99,268.5,272.0,270.8,1.2,0.4431,242393.49,6594201.202,,0.5174843034232595,0.0018922502873289808,1.031184106271861,,,,,49.99999999999999,49.99999999999999,49.999999999999986
300750.SZ,2025-07-11,271.5,274.0,270.1,271.5,272.0,-0.5,-0.1838,213281.53,5798544.034,,0.8642256840757341,0.17435893704501002,1.379733494061448,,,,,49.99999999999999,49.99999999999999,49.999999999999986
300750.SZ,2025-07-14,271.0,271.32,266.1,268.5,271.5,-3.0,-1.105,149788.84,4013693.003,,0.886724193885243,0.31683198841305665,1.1397844109443729,,,,,49.99999999999999,49.99999999999999,49.999999999999986
300750.SZ,2025-07-15,268.5,272.5,266.0,267.75,268.5,-0.75,-0.2793,169526.49,4553827.628,,0.8344170526376047,0.4203490012579663,0.8281361027592767,,,,,49.99999999999999,49.99999999999999,49.999999999999986
300750.SZ,2025-07-16,268.5,268.7,263.04,264.4,267.75,-3.35,-1.2512,156264.79,4135841.242,,0.5166901806898636,0.4396172371443458,0.1541458870910356,,,,,44.75481067659833,48.25160355886611,37.76122491206277
300750.SZ,2025-07-17,265.37,267.75,264.36,265.5,264.4,1.1,0.416,145110.17,3852746.251,,0.3496199513211877,0.4216177799797142,-0.143995657317053,,,,,43.534036830126176,46.67908131595279,37.243947858472936
300750.SZ,2025-07-18,268.7,272.45,265.8,271.2,265.5,5.7,2.1469,221865.58,5981601.235,,0.6694410542224318,0.4711824348282578,0.3965172387883481,,,,,54.0281845182603,49.128782383388625,63.82698878800366
300750.SZ,2025-07-21,277.0,282.0,273.55,279.66,271.2,8.46,3.1195,324862.75,9047295.149,,1.587255980378984,0.6943971439384031,1.785717672881162,,,,,65.43252502222381,54.56336326300035,87.17084854067075
300750.SZ,2025-07-22,280.0,290.0,279.18,286.66,279.66,7.0,2.503,333090.29,9468912.161,,2.8466579198990303,1.1248492991305286,3.4436172415370034,,,,,72.82544200294646,60.65072284298238,97.17488032287461
300750.SZ,2025-07-23,288.16,290.75,286.59,287.02,286.66,0.36,0.1256,200189.74,5772653.126,,3.82964624379764,1.6658086880639509,4.327675111467379,,,,,77.39667984846974,66.23270851147817,99.7246225224529
300750.SZ,2025-07-24,289.0,289.2,282.91,285.2,287.02,-1.82,-0.6341,223891.14,6394082.072,70.18310445276732,4.410965913589507,2.214840133169062,4.39225156084089,,,,,78.25482975101878,70.2400822579917,94.28432473707292
300750.SZ,2025-07-25,285.2,285.2,281.75,282.8,285.2,-2.4,-0.8415,134326.01,3802835.26,66.60135484066952,4.624695388057887,2.6968111841468274,3.8557684078221195,,,,,75.93988529774403,72.1400166045758,83.53962268408048
300750.SZ,2025-07-28,283.02,289.09,281.3,286.3,282.8,3.5,1.2376,238973.36,6830867.029,69.0796262604192,5.018646453375709,3.161178237992604,3.71493643076621,,,,,78.60686206184259,74.29563175699806,87.22932267153163
300750.SZ,2025-07-29,286.7,292.0,286.68,291.82,286.3,5.52,1.928,233945.55,6785427.583,72.54037689784533,5.710446901093405,3.6710319706127645,4.078829860961282,,,,,85.52083134079423,78.03736495159677,100.48776411918914
300750.SZ,2025-07-30,292.2,292.2,276.36,277.09,291.82,-14.73,-5.0476,415943.01,11712764.593,54.88651940490007,5.012336745874052,3.939292925665022,2.1460876404180596,,,,,71.26893806557996,75.78122265625782,62.24436888422423
300750.SZ,2025-07-31,280.8,281.98,264.62,264.62,277.09,-12.47,-4.5003,447103.55,12088514.551,44.91991680222465,3.4135058636266535,3.8341355132573485,-0.8412592992613899,274.14099999999996,9.586529968768959,293.3140599375379,254.96794006246205,47.512625377053304,66.35835689652298,9.821162338113965
300750.SZ,2025-08-01,264.8,266.6,262.75,263.07,264.62,-1.55,-0.5857,252500.02,6682814.646,43.8539585867604,1.998313510143646,3.4669711126346083,-2.9373152049819247,274.0045,9.729909652309493,293.464319304619,254.54468069538103,32.03727939681311,54.917997729953015,-13.724157269466701
300750.SZ,2025-08-04,263.0,268.0,261.7,266.48,263.07,3.41,1.2962,237681.68,6286238.371,46.8425903757075,1.1387945607179972,3.0013358022512864,-3.7250824830665783,274.284,9.408331358289232,293.1006627165784,255.46733728342153,26.5822299803891,45.47274181343171,-11.198793685696117
300750.SZ,2025-08-05,267.5,269.0,263.5,265.7,266.48,-0.78,-0.2927,219760.4,5844478.67,46.23632676551439,0.3901823403905951,2.479105109879148,-4.177845538977106,274.4035,9.275854493196164,292.95520898639234,255.85179101360768,22.093071353046284,37.67951832663657,-9.079822594134285
300750.SZ,2025-08-06,265.22,266.9,263.23,265.0,265.7,-0.7,-0.2635,153233.11,4058482.396,45.66512002702002,-0.25662418368807494,1.9319592511657036,-4.3771668697075565,274.1135,9.482800649486144,293.07910129897226,255.1478987010277,18.335271612413383,31.23143608856217,-7.457057339884187
300750.SZ,2025-08-07,265.0,266.49,262.2,263.05,265.0,-1.95,-0.7358,165481.04,4363462.114,44.03315424295407,-0.9160124953315858,1.3623649018662458,-4.556754794395664,273.666,9.79386402966567,293.25372805933137,254.07827194066866,13.698924244341185,25.38726547382184,-9.677758214620127
300750.SZ,2025-08-08,264.0,266.16,262.01,263.48,263.05,0.43,0.1635,174282.16,4604736.203,44.504137618197774,-1.3878863862735784,0.812314644238281,-4.400402061023719,273.265,10.048101941739002,293.36120388347797,253.16879611652197,11.077971354150986,20.617500767264886,-8.001087472076819
300750.SZ,2025-08-11,263.48,266.15,262.5,263.66,263.48,0.18,0.0683,213308.76,5627553.11,44.71387682269377,-1.7274128092477667,0.30436915354107147,-4.063563925577676,273.023,10.225618550329475,293.47423710065897,252.57176289934108,9.527390738832937,16.920797424454236,-5.25942263240966
300750.SZ,2025-08-12,263.5,265.18,257.72,263.25,263.66,-0.41,-0.1555,222407.39,5829140.856,44.30315319769203,-2.0064444761450204,-0.15779357239614694,-3.697301807497747,272.798,10.395841071262467,293.5896821425249,252.00631785747507,13.94983510096416,15.930476649957544,9.988552002977393
300750.SZ,2025-08-13,264.77,275.0,264.51,273.6,263.25,10.35,3.9316,394667.69,10661084.797,55.43244119382576,-1.376552540225191,-0.4015453659619558,-1.9500143485264705,273.258,10.206503396312934,293.67100679262586,252.8449932073741,39.93260611669219,23.931186472202427,71.93544540567171
300750.SZ,2025-08-14,276.89,282.0,274.48,279.89,273.6,6.29,2.299,371707.57,10378442.059,60.58678741278511,-0.3655938720233394,-0.3943550671742325,0.0575223903017863,273.9775,10.137799966358319,294.2530999327167,253.7019000672834,57.058310722495484,34.97356122230011,101.22780972288622
300750.SZ,2025-08-15,278.38,282.3,276.1,280.67,279.89,0.78,0.2787,241091.69,6735591.187,61.186259381834056,0.49285629676182907,-0.2169127943870202,1.4195381822976985,274.451,10.222049902564859,294.89509980512975,254.0069001948703,69.16173793216542,46.36962012558855,114.74597354531919
300750.SZ,2025-08-18,280.67,285.48,278.02,283.0,280.67,2.33,0.8302,285287.93,8056186.542,62.99681612498635,1.3456835652201562,0.09560647753441508,2.5001541753714824,274.618,10.338252219179427,295.29450443835884,253.94149556164115,76.46325276169335,56.40083100429015,116.58809627649977
300750.SZ,2025-08-19,283.0,284.0,276.22,277.8,283.0,-5.2,-1.8375,244285.85,6816442.573,56.646020300062716,1.583702837485589,0.3932257495246499,2.3809541759218784,274.175,9.97866170754797,294.1323234150959,254.21767658490407,75.08693315717116,62.62953172191715,100.00173602767919
300750.SZ,2025-08-20,277.5,279.99,272.05,279.2,276.8,2.4,0.8671,233534.92,6414344.337,57.877240521272974,1.863818189403105,0.6873442375003409,2.352947903805528,273.784,9.59467802043349,292.973356040867,254.594643959133,75.850462642725,67.03650869551976,93.4783705371355
300750.SZ,2025-08-21,279.27,281.8,278.0,279.0,279.2,-0.2,-0.0716,182698.14,5103914.721,57.625468259996865,2.0460872749293344,0.9590928449861397,2.1739888598863892,273.47400000000005,9.302118264703282,292.0782365294066,254.86976347059348,76.11932860139396,70.06411533081115,88.22975514255958
300750.SZ,2025-08-22,278.93,289.35,278.6,287.18,279.0,8.18,2.9319,264218.51,7543698.628,64.4391282000066,2.818109068148658,1.3308960896186435,2.974425957060029,273.69300000000004,9.580626339265697,292.85425267853145,254.53174732146866,81.79269393322984,73.97364153161737,97.43079873645479
